Model,Accuracy,Macro F1,Precision,Recall,95% CI,CV Time (s)
Linear SVM,0.9982,0.9978,0.9977,0.998,"[0.9954, 1.0000]",1.0
Logistic Regression (LR),0.9982,0.9977,0.9964,0.999,"[0.9954, 1.0000]",1.23
Multinomial NB,0.9972,0.9967,0.9959,0.9975,"[0.9935, 1.0000]",0.92
Random Forest,0.9945,0.9935,0.996,0.991,"[0.9898, 0.9982]",1.22
